seq,Credit_Default,BE_SCORE_ON_OD,BNI_SCORE_ON_OD,BUSAGE,BUSSTRUC,MAXLINEUTIL,AVGLINEUTIL12,MAXLINEBALRT,MAXTIMESLBAL12,DAYSDELQ,TOTDAYSDELQ12,TOTACBAL,MAXDELQ,TOTDELQ12,DEPOSITRT,AVGDEPRT12,ALL_OPEN_TRADE_UT,BR_OPEN_TRADE_UT,BR_TRADE_PAST_DUE
8,1,516,143,84,4,0.6473,0.7365,1.4897,9,0,0,1618.42,0,0,8.0711,12.5913,72,59,0
8,1,684,950,49,4,0.8112,0.806816,0.8112,0,62,3,6558.71,2,5,0,0.0841,22,11,0
9,1,750,953,360,3,0.9949,0.9247,1.0017,4,0,0,35060.43,2,3,0,0.0853,69,75,0
2,1,733,960,13,2,0.9642,0.969766,0.9725,0,0,0,19230.54,0,3,0.0156,0.027,,,0
4,1,635,698,70,1,0.5381,0.420083,0.5649,0,0,0,33170.57,0,0,0.3678,0.7458,45,62,0
2,1,685,967,41,2,0,0,0,0,0,0,,,,,,48,48,0
9,1,679,907,69,1,0.6492,0.585972,0.8786,0,0,0,64925.9,0,0,0.5399,0.7576,69,38,0
2,1,0,968,24,2,,,,,,1,,,,,,,,
5,1,506,846,24,2,0.9708,0.958975,0.9849,1,0,0,19699.02,0,0,0.1251,0.1976,81,81,2
4,1,644,955,49,4,,,,,,0,,,,,,54,,0
5,1,655,909,70,1,0.3216,0.331608,0.3231,0,0,0,14472.85,0,8,0.0138,0.0108,50,30,0
8,1,622,364,181,1,0.9628,0.87976,0.9628,2,0,0,19257.93,0,2,0.0182,0.3101,70,63,0
9,1,816,969,223,4,0,0.053187,0.0058,0,0,0,3011.71,0,0,3.7666,0.8552,44,6,0
9,1,768,946,26,3,0.9027,0.760341,0.9027,0,0,0,13541.96,0,0,0.1469,0.1916,48,20,0
10,1,814,971,290,3,0.1516,0.266941,0.1516,0,0,0,11377.47,1,2,0,0.3039,12,5,0
7,1,679,826,104,4,0.9961,0.757187,1.0076,3,0,0,59769.69,0,5,0.0547,0.0374,12,12,0
3,1,0,963,65,4,1.0298,0.884883,1.0462,4,72,2,20596.26,3,3,0,0.4334,71,73,0
6,1,539,131,36,2,1.1533,0.745,1.084,3,180,7,6920.16,1,2,0,0.227,62,67,3
3,1,742,943,26,1,0,0,0,1,0,0,,,,,,57,23,0
6,1,738,951,29,1,0.7665,0.80075,0.9912,1,0,0,57488.29,0,3,0.4492,0.4118,78,39,0
10,1,835,974,65,4,0.9955,0.95945,0.9971,4,0,0,64710.48,0,0,0.1284,0.2682,0,0,0
7,1,624,929,76,1,,0.93682,,5,78,3,1657.88,2,4,0,4.5964,75,,0
7,1,788,955,156,1,,1.080366,,5,0,1,4354.69,0,3,3.9605,0.5229,0,0,0
3,1,750,900,350,1,,,,,0,0,,,,,,39,32,0
8,1,701,951,72,1,0.9835,0.988066,0.9835,7,0,0,44258.48,1,8,0,0.0165,84,85,0
2,1,691,851,79,2,0.021,0.0115,0.006,0,31,1,,,,,,85,89,0
10,1,540,249,45,2,0.9029,0.892383,0.9812,3,0,0,13543.78,0,1,0.2215,0.1001,84,105,0
7,1,625,675,76,1,0.9419,0.951833,0.9503,1,0,0,56719.04,1,6,0,0.0137,58,,
